metric,value
version,2026.08.26-graph-scheduler-v1
seeds_per_cell,30
horizon,4200
topologies[0],line
topologies[1],fan_in
topologies[2],fan_out
topologies[3],diamond
topologies[4],self_loop
topologies[5],two_cycle
loads[0],under
loads[1],capacity
loads[2],over
policies[0],reactive
policies[1],watermark
policies[2],credit
policies[3],pi
policies[4],aimd:a=0.5:m=1.35
policies[5],aimd:a=0.5:m=1.8
policies[6],aimd:a=0.5:m=2.5
policies[7],aimd:a=1.0:m=1.35
policies[8],aimd:a=1.0:m=1.8
policies[9],aimd:a=1.0:m=2.5
policies[10],aimd:a=2.0:m=1.35
policies[11],aimd:a=2.0:m=1.8
policies[12],aimd:a=2.0:m=2.5
aggregate.line.capacity.reactive.atomic_publish_stalls,0.0
aggregate.line.capacity.reactive.overflow_attempts,0.0
aggregate.line.capacity.reactive.queue_cv,3.1439480549570726
aggregate.line.capacity.reactive.queue_direction_reversals,45.13333333333333
aggregate.line.capacity.reactive.source_fairness,1.0
aggregate.line.capacity.watermark.generated_traces,420.1
aggregate.line.capacity.watermark.sink_completions,420.1
aggregate.line.capacity.watermark.throughput_per_1000_ticks,100.02380952380953
aggregate.line.capacity.watermark.p50_latency,20.966666666666665
aggregate.line.capacity.watermark.p95_latency,24.536666666666665
aggregate.line.capacity.watermark.p99_latency,26.55366666666667
aggregate.line.capacity.watermark.mean_latency,21.037680403601186
aggregate.line.capacity.watermark.max_node_queue,1.0
aggregate.line.capacity.watermark.max_external_backlog,0.0
aggregate.line.capacity.watermark.pending_after_drain,0.0
aggregate.line.capacity.watermark.sustained_no_progress,0.0
aggregate.line.capacity.watermark.activations,1260.1
aggregate.line.capacity.watermark.blocked_ticks,840.0666666666667
aggregate.line.capacity.watermark.busy_ticks,8394.466666666667
aggregate.line.capacity.watermark.atomic_publish_stalls,0.0
aggregate.line.capacity.watermark.overflow_attempts,0.0
aggregate.line.capacity.watermark.queue_cv,3.1439480549570726
aggregate.line.capacity.watermark.queue_direction_reversals,45.13333333333333
aggregate.line.capacity.watermark.source_fairness,1.0
aggregate.line.capacity.credit.generated_traces,420.1
aggregate.line.capacity.credit.sink_completions,420.1
aggregate.line.capacity.credit.throughput_per_1000_ticks,100.02380952380953
aggregate.line.capacity.credit.p50_latency,20.966666666666665
aggregate.line.capacity.credit.p95_latency,24.536666666666665
aggregate.line.capacity.credit.p99_latency,26.55366666666667
aggregate.line.capacity.credit.mean_latency,21.037680403601186
aggregate.line.capacity.credit.max_node_queue,1.0
aggregate.line.capacity.credit.max_external_backlog,0.0
aggregate.line.capacity.credit.pending_after_drain,0.0
aggregate.line.capacity.credit.sustained_no_progress,0.0
aggregate.line.capacity.credit.activations,1260.1
aggregate.line.capacity.credit.blocked_ticks,840.0666666666667
aggregate.line.capacity.credit.busy_ticks,8394.466666666667
aggregate.line.capacity.credit.atomic_publish_stalls,0.0
aggregate.line.capacity.credit.overflow_attempts,0.0
aggregate.line.capacity.credit.queue_cv,3.1439480549570726
aggregate.line.capacity.credit.queue_direction_reversals,45.13333333333333
aggregate.line.capacity.credit.source_fairness,1.0
aggregate.line.capacity.pi.generated_traces,420.1
aggregate.line.capacity.pi.sink_completions,420.1
aggregate.line.capacity.pi.throughput_per_1000_ticks,100.02380952380953
aggregate.line.capacity.pi.p50_latency,20.966666666666665
aggregate.line.capacity.pi.p95_latency,24.536666666666665
aggregate.line.capacity.pi.p99_latency,26.55366666666667
aggregate.line.capacity.pi.mean_latency,21.037680403601186
aggregate.line.capacity.pi.max_node_queue,1.0
aggregate.line.capacity.pi.max_external_backlog,0.0
aggregate.line.capacity.pi.pending_after_drain,0.0
aggregate.line.capacity.pi.sustained_no_progress,0.0
aggregate.line.capacity.pi.activations,1260.1
aggregate.line.capacity.pi.blocked_ticks,840.0666666666667
aggregate.line.capacity.pi.busy_ticks,8394.466666666667
aggregate.line.capacity.pi.atomic_publish_stalls,0.0
aggregate.line.capacity.pi.overflow_attempts,0.0
aggregate.line.capacity.pi.queue_cv,3.1439480549570726
aggregate.line.capacity.pi.queue_direction_reversals,45.13333333333333
aggregate.line.capacity.pi.source_fairness,1.0
aggregate.line.capacity.aimd:a=0.5:m=1.35.generated_traces,420.93333333333334
aggregate.line.capacity.aimd:a=0.5:m=1.35.sink_completions,420.93333333333334
aggregate.line.capacity.aimd:a=0.5:m=1.35.throughput_per_1000_ticks,100.22222222222221
aggregate.line.capacity.aimd:a=0.5:m=1.35.p50_latency,2560.8
aggregate.line.capacity.aimd:a=0.5:m=1.35.p95_latency,5120.591666666666
aggregate.line.capacity.aimd:a=0.5:m=1.35.p99_latency,5347.229
aggregate.line.capacity.aimd:a=0.5:m=1.35.mean_latency,2572.0558560469203
