metric,value
version,2026.08.26-public-v1
python,"3.11.16 (main, Aug 13 2026, 02:46:14) [GCC 13.3.0]"
evidence_class,public_dataset_deterministic_retrieval
longmemeval.session_retrieval.word_all.single-session-assistant.complete_at_5,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.ndcg_at_5,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.hit_at_10,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.recall_at_10,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.complete_at_10,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.ndcg_at_10,1.0
longmemeval.session_retrieval.bigram_all.all_answerable.n,470
longmemeval.session_retrieval.bigram_all.all_answerable.mrr,0.9114157186622769
longmemeval.session_retrieval.bigram_all.all_answerable.hit_at_1,0.874468085106383
longmemeval.session_retrieval.bigram_all.all_answerable.recall_at_1,0.5624113475177305
longmemeval.session_retrieval.bigram_all.all_answerable.complete_at_1,0.30425531914893617
longmemeval.session_retrieval.bigram_all.all_answerable.ndcg_at_1,0.874468085106383
longmemeval.session_retrieval.bigram_all.all_answerable.hit_at_3,0.9361702127659575
longmemeval.session_retrieval.bigram_all.all_answerable.recall_at_3,0.859290780141844
longmemeval.session_retrieval.bigram_all.all_answerable.complete_at_3,0.7702127659574468
longmemeval.session_retrieval.bigram_all.all_answerable.ndcg_at_3,0.8671102386791184
longmemeval.session_retrieval.bigram_all.all_answerable.hit_at_5,0.9680851063829787
longmemeval.session_retrieval.bigram_all.all_answerable.recall_at_5,0.9145390070921985
longmemeval.session_retrieval.bigram_all.all_answerable.complete_at_5,0.8361702127659575
longmemeval.session_retrieval.bigram_all.all_answerable.ndcg_at_5,0.8848280498281368
longmemeval.session_retrieval.bigram_all.all_answerable.hit_at_10,0.9851063829787234
longmemeval.session_retrieval.bigram_all.all_answerable.recall_at_10,0.9510283687943263
longmemeval.session_retrieval.bigram_all.all_answerable.complete_at_10,0.902127659574468
longmemeval.session_retrieval.bigram_all.all_answerable.ndcg_at_10,0.900316918602827
longmemeval.session_retrieval.bigram_all.single-session-user.n,64
longmemeval.session_retrieval.bigram_all.single-session-user.mrr,0.9770833333333333
longmemeval.session_retrieval.bigram_all.single-session-user.hit_at_1,0.96875
longmemeval.session_retrieval.bigram_all.single-session-user.recall_at_1,0.96875
longmemeval.session_retrieval.bigram_all.single-session-user.complete_at_1,0.96875
longmemeval.session_retrieval.bigram_all.single-session-user.ndcg_at_1,0.96875
longmemeval.session_retrieval.bigram_all.single-session-user.hit_at_3,0.984375
longmemeval.session_retrieval.bigram_all.single-session-user.recall_at_3,0.984375
longmemeval.session_retrieval.bigram_all.single-session-user.complete_at_3,0.984375
longmemeval.session_retrieval.bigram_all.single-session-user.ndcg_at_3,0.9765625
longmemeval.session_retrieval.bigram_all.single-session-user.hit_at_5,1.0
longmemeval.session_retrieval.bigram_all.single-session-user.recall_at_5,1.0
longmemeval.session_retrieval.bigram_all.single-session-user.complete_at_5,1.0
longmemeval.session_retrieval.bigram_all.single-session-user.ndcg_at_5,0.9826070751130397
longmemeval.session_retrieval.bigram_all.single-session-user.hit_at_10,1.0
longmemeval.session_retrieval.bigram_all.single-session-user.recall_at_10,1.0
longmemeval.session_retrieval.bigram_all.single-session-user.complete_at_10,1.0
longmemeval.session_retrieval.bigram_all.single-session-user.ndcg_at_10,0.9826070751130397
longmemeval.session_retrieval.bigram_all.multi-session.n,121
longmemeval.session_retrieval.bigram_all.multi-session.mrr,0.9063955058607466
longmemeval.session_retrieval.bigram_all.multi-session.hit_at_1,0.859504132231405
longmemeval.session_retrieval.bigram_all.multi-session.recall_at_1,0.36391184573002755
longmemeval.session_retrieval.bigram_all.multi-session.complete_at_1,0.0
longmemeval.session_retrieval.bigram_all.multi-session.ndcg_at_1,0.859504132231405
longmemeval.session_retrieval.bigram_all.multi-session.hit_at_3,0.9338842975206612
longmemeval.session_retrieval.bigram_all.multi-session.recall_at_3,0.7566115702479339
longmemeval.session_retrieval.bigram_all.multi-session.complete_at_3,0.5371900826446281
longmemeval.session_retrieval.bigram_all.multi-session.ndcg_at_3,0.8069186633817391
longmemeval.session_retrieval.bigram_all.multi-session.hit_at_5,0.9669421487603306
longmemeval.session_retrieval.bigram_all.multi-session.recall_at_5,0.8539944903581267
longmemeval.session_retrieval.bigram_all.multi-session.complete_at_5,0.6859504132231405
longmemeval.session_retrieval.bigram_all.multi-session.ndcg_at_5,0.8364889744546297
longmemeval.session_retrieval.bigram_all.multi-session.hit_at_10,0.9834710743801653
longmemeval.session_retrieval.bigram_all.multi-session.recall_at_10,0.9088154269972452
longmemeval.session_retrieval.bigram_all.multi-session.complete_at_10,0.8016528925619835
longmemeval.session_retrieval.bigram_all.multi-session.ndcg_at_10,0.8617038095034466
longmemeval.session_retrieval.bigram_all.single-session-preference.n,30
longmemeval.session_retrieval.bigram_all.single-session-preference.mrr,0.5262861811391223
longmemeval.session_retrieval.bigram_all.single-session-preference.hit_at_1,0.3333333333333333
longmemeval.session_retrieval.bigram_all.single-session-preference.recall_at_1,0.3333333333333333
longmemeval.session_retrieval.bigram_all.single-session-preference.complete_at_1,0.3333333333333333
longmemeval.session_retrieval.bigram_all.single-session-preference.ndcg_at_1,0.3333333333333333
longmemeval.session_retrieval.bigram_all.single-session-preference.hit_at_3,0.6666666666666666
longmemeval.session_retrieval.bigram_all.single-session-preference.recall_at_3,0.6666666666666666
longmemeval.session_retrieval.bigram_all.single-session-preference.complete_at_3,0.6666666666666666
longmemeval.session_retrieval.bigram_all.single-session-preference.ndcg_at_3,0.5218216255952429
longmemeval.session_retrieval.bigram_all.single-session-preference.hit_at_5,0.8333333333333334
longmemeval.session_retrieval.bigram_all.single-session-preference.recall_at_5,0.8333333333333334
longmemeval.session_retrieval.bigram_all.single-session-preference.complete_at_5,0.8333333333333334
longmemeval.session_retrieval.bigram_all.single-session-preference.ndcg_at_5,0.5892186768569233
longmemeval.session_retrieval.bigram_all.single-session-preference.hit_at_10,0.9333333333333333
longmemeval.session_retrieval.bigram_all.single-session-preference.recall_at_10,0.9333333333333333
longmemeval.session_retrieval.bigram_all.single-session-preference.complete_at_10,0.9333333333333333
longmemeval.session_retrieval.bigram_all.single-session-preference.ndcg_at_10,0.6212432398639779
longmemeval.session_retrieval.bigram_all.temporal-reasoning.n,127
longmemeval.session_retrieval.bigram_all.temporal-reasoning.mrr,0.8910993133434078
longmemeval.session_retrieval.bigram_all.temporal-reasoning.hit_at_1,0.8503937007874016
longmemeval.session_retrieval.bigram_all.temporal-reasoning.recall_at_1,0.44724409448818897
longmemeval.session_retrieval.bigram_all.temporal-reasoning.complete_at_1,0.11811023622047244
longmemeval.session_retrieval.bigram_all.temporal-reasoning.ndcg_at_1,0.8503937007874016
longmemeval.session_retrieval.bigram_all.temporal-reasoning.hit_at_3,0.9212598425196851
longmemeval.session_retrieval.bigram_all.temporal-reasoning.recall_at_3,0.8213910761154856
longmemeval.session_retrieval.bigram_all.temporal-reasoning.complete_at_3,0.7165354330708661
longmemeval.session_retrieval.bigram_all.temporal-reasoning.ndcg_at_3,0.8388838897923742
longmemeval.session_retrieval.bigram_all.temporal-reasoning.hit_at_5,0.952755905511811
longmemeval.session_retrieval.bigram_all.temporal-reasoning.recall_at_5,0.8740157480314961
longmemeval.session_retrieval.bigram_all.temporal-reasoning.complete_at_5,0.7559055118110236
longmemeval.session_retrieval.bigram_all.temporal-reasoning.ndcg_at_5,0.8512875535500077
longmemeval.session_retrieval.bigram_all.temporal-reasoning.hit_at_10,0.9763779527559056
longmemeval.session_retrieval.bigram_all.temporal-reasoning.recall_at_10,0.9253280839895013
longmemeval.session_retrieval.bigram_all.temporal-reasoning.complete_at_10,0.8503937007874016
longmemeval.session_retrieval.bigram_all.temporal-reasoning.ndcg_at_10,0.8737773374283583
longmemeval.session_retrieval.bigram_all.knowledge-update.n,72
longmemeval.session_retrieval.bigram_all.knowledge-update.mrr,0.9888888888888889
longmemeval.session_retrieval.bigram_all.knowledge-update.hit_at_1,0.9861111111111112
longmemeval.session_retrieval.bigram_all.knowledge-update.recall_at_1,0.4930555555555556
longmemeval.session_retrieval.bigram_all.knowledge-update.complete_at_1,0.0
longmemeval.session_retrieval.bigram_all.knowledge-update.ndcg_at_1,0.9861111111111112
longmemeval.session_retrieval.bigram_all.knowledge-update.hit_at_3,0.9861111111111112
longmemeval.session_retrieval.bigram_all.knowledge-update.recall_at_3,0.9583333333333334
longmemeval.session_retrieval.bigram_all.knowledge-update.complete_at_3,0.9305555555555556
longmemeval.session_retrieval.bigram_all.knowledge-update.ndcg_at_3,0.9612743213681445
longmemeval.session_retrieval.bigram_all.knowledge-update.hit_at_5,1.0
longmemeval.session_retrieval.bigram_all.knowledge-update.recall_at_5,0.9791666666666666
longmemeval.session_retrieval.bigram_all.knowledge-update.complete_at_5,0.9583333333333334
longmemeval.session_retrieval.bigram_all.knowledge-update.ndcg_at_5,0.9719039596725122
longmemeval.session_retrieval.bigram_all.knowledge-update.hit_at_10,1.0
longmemeval.session_retrieval.bigram_all.knowledge-update.recall_at_10,0.9930555555555556
longmemeval.session_retrieval.bigram_all.knowledge-update.complete_at_10,0.9861111111111112
longmemeval.session_retrieval.bigram_all.knowledge-update.ndcg_at_10,0.9776238741230043
longmemeval.session_retrieval.bigram_all.single-session-assistant.n,56
longmemeval.session_retrieval.bigram_all.single-session-assistant.mrr,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.hit_at_1,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.recall_at_1,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.complete_at_1,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.ndcg_at_1,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.hit_at_3,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.recall_at_3,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.complete_at_3,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.ndcg_at_3,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.hit_at_5,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.recall_at_5,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.complete_at_5,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.ndcg_at_5,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.hit_at_10,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.recall_at_10,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.complete_at_10,1.0
longmemeval.session_retrieval.bigram_all.single-session-assistant.ndcg_at_10,1.0
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.n,470
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.mrr,0.9100707338598453
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.hit_at_1,0.8702127659574468
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.recall_at_1,0.5586879432624113
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.complete_at_1,0.3021276595744681
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.ndcg_at_1,0.8702127659574468
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.hit_at_3,0.9382978723404255
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.recall_at_3,0.8584042553191489
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.complete_at_3,0.7659574468085106
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.ndcg_at_3,0.8656214867965885
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.hit_at_5,0.9702127659574468
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.recall_at_5,0.9185106382978723
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.complete_at_5,0.8404255319148937
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.ndcg_at_5,0.8848211218001143
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.hit_at_10,0.9851063829787234
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.recall_at_10,0.9515602836879433
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.complete_at_10,0.9042553191489362
longmemeval.session_retrieval.rrf_word_bigram.all_answerable.ndcg_at_10,0.8991807288815538
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.n,64
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.mrr,0.9770833333333333
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.hit_at_1,0.96875
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.recall_at_1,0.96875
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.complete_at_1,0.96875
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.ndcg_at_1,0.96875
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.hit_at_3,0.984375
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.recall_at_3,0.984375
longmemeval.session_retrieval.rrf_word_bigram.single-session-user.complete_at_3,0.984375
